"software_id";"software_name";"associated_software";"software_description"
"S1033";"DCSrv";"";"DCSrvis destructive malware that has been used byMoses Staffsince at least  September 2021. ThoughDCSrvhas ransomware-like capabilities,Moses Staffdoes not demand ransom or offer a decryption key."
"S0255";"DDKONG";"";"DDKONGis a malware sample that was part of a campaign byRancor.DDKONGwas first seen used in February 2017."
"S1052";"DEADEYE";"DEADEYE.EMBED, DEADEYE.APPEND";"DEADEYEis a malware launcher that has been used byAPT41since at least May 2021.DEADEYEhas variants that can either embed a payload inside a compiled binary (DEADEYE.EMBED) or append it to the end of a file (DEADEYE.APPEND)."
"S0243";"DealersChoice";"";"DealersChoiceis a Flash exploitation framework used byAPT28."
"S0616";"DEATHRANSOM";"";"DEATHRANSOMis ransomware written in C that has been used since at least 2020, and has potential overlap withFIVEHANDSandHELLOKITTY."
"S0479";"DEFENSOR ID";"";"DEFENSOR IDis a banking trojan capable of clearing a victim’s bank account or cryptocurrency wallet and taking over email or social media accounts.DEFENSOR IDperforms the majority of its malicious functionality by abusing Android’s accessibility service."
"S0301";"Dendroid";"";"Dendroidis an Android remote access tool (RAT) primarily targeting Western countries. The RAT was available for purchase for $300 and came bundled with a utility to inject the RAT into legitimate applications."
"S0354";"Denis";"";"Denisis a Windows backdoor and Trojan used byAPT32.Denisshares several similarities to theSOUNDBITEbackdoor and has been used in conjunction with theGoopybackdoor."
"S0021";"Derusbi";"PHOTO";"Derusbiis malware used by multiple Chinese APT groups. Both Windows and Linux variants have been observed."
"S0505";"Desert Scorpion";"";"Desert Scorpionis surveillanceware that has targeted the Middle East, specifically individuals located in Palestine.Desert Scorpionis suspected to have been operated by the threat actor APT-C-23."
"S0659";"Diavol";"";"Diavolis a ransomware variant first observed in June 2021 that is capable of prioritizing file types to encrypt based on a pre-configured list of extensions defined by the attacker.  TheDiavolRansomware-as-a Service (RaaS) program is managed byWizard Spiderand it has been observed being deployed byBazar."
"S0200";"Dipsind";"";"Dipsindis a malware family of backdoors that appear to be used exclusively byPLATINUM."
"S1088";"Disco";"";"Discois a custom implant that has been used byMoustachedBouncersince at least 2020 including in campaigns using targeted malicious content injection for initial access and command and control."
"S1021";"DnsSystem";"";"DnsSystemis a .NET based DNS backdoor, which is a customized version of the open source tool DIG.net, that has been used byHEXANEsince at least June 2022."
"S0213";"DOGCALL";"";"DOGCALLis a backdoor used byAPT37that has been used to target South Korean government and military organizations in 2017. It is typically dropped using a Hangul Word Processor (HWP) exploit."
"S0281";"Dok";"Retefe";"Dokis a Trojan application disguised as a .zip file that is able to collect user credentials and install a malicious proxy server to redirect a user's network traffic (i.e.Adversary-in-the-Middle)."
"S0600";"Doki";"";"Dokiis a backdoor that uses a unique Dogecoin-based Domain Generation Algorithm and was first observed in July 2020.Dokiwas used in conjunction with thengrokMining Botnet in a campaign that targeted Docker servers in cloud platforms."
"S0695";"Donut";"";"Donutis an open source framework used to generate position-independent shellcode.Donutgenerated code has been used by multiple threat actors to inject and load malicious payloads into memory."
"S0550";"DoubleAgent";"";"DoubleAgentis a family of RAT malware dating back to 2013, known to target groups with contentious relationships with the Chinese government."
"S0472";"down_new";"";"down_newis a downloader that has been used byBRONZE BUTLERsince at least 2019."
"S0134";"Downdelph";"Delphacy";"Downdelphis a first-stage downloader written in Delphi that has been used byAPT28in rare instances between 2013 and 2015."
"S0186";"DownPaper";"";"DownPaperis a backdoor Trojan; its main functionality is to download and run second stage malware."
"S0694";"DRATzarus";"";"DRATzarusis a remote access tool (RAT) that has been used byLazarus Groupto target the defense and aerospace organizations globally since at least summer 2020.DRATzarusshares similarities withBankshot, which was used byLazarus Groupin 2017 to target the Turkish financial sector."
"S0300";"DressCode";"";"DressCodeis an Android malware family."
"S0384";"Dridex";"Bugat v5";"Dridexis a prolific banking Trojan that first appeared in 2014. By December 2019, the US Treasury estimatedDridexhad infected computers in hundreds of banks and financial institutions in over 40 countries, leading to more than $100 million in theft.Dridexwas created from the source code of the Bugat banking Trojan (also known as Cridex)."
"S1054";"Drinik";"";"Drinikis an evolving Android banking trojan that was observed targeting customers of around 27 banks in India in August 2021. Initially seen as an SMS stealer in 2016,Drinikresurfaced as a banking trojan with more advanced capabilities included in subsequent versions between September 2021 and August 2022."
"S0320";"DroidJack";"";"DroidJackis an Android remote access tool that has been observed posing as legitimate applications including the Super Mario Run and Pokemon GO games."
"S0547";"DropBook";"";"DropBookis a Python-based backdoor compiled with PyInstaller."
"S0502";"Drovorub";"";"Drovorubis a Linux malware toolset comprised of an agent, client, server, and kernel modules, that has been used byAPT28."
"S0105";"dsquery";"dsquery.exe";"dsqueryis a command-line utility that can be used to query Active Directory for information from a system within a domain.  It is typically installed only on Windows Server versions but can be installed on non-server variants through the Microsoft-provided Remote Server Administration Tools bundle."
"S0567";"Dtrack";"";"Dtrackis spyware that was discovered in 2019 and has been used against Indian financial institutions, research facilities, and the Kudankulam Nuclear Power Plant.Dtrackshares similarities with the DarkSeoul campaign, which was attributed toLazarus Group."
"S0315";"DualToy";"";"DualToyis Windows malware that installs malicious applications onto Android and iOS devices connected over USB."
"S0038";"Duqu";"";"Duquis a malware platform that uses a modular approach to extend functionality after deployment within a target network."
"S0062";"DustySky";"NeD Worm";"DustySkyis multi-stage malware written in .NET that has been used byMoleratssince May 2015."
"S0420";"Dvmap";"";"Dvmapis rooting malware that injects malicious code into system runtime libraries. It is credited with being the first malware that performs this type of code injection."
"S0024";"Dyre";"Dyzap, Dyreza";"Dyreis a banking Trojan that has been used for financial gain."
"S0377";"Ebury";"";"Eburyis an SSH backdoor targeting Linux operating systems. Attackers require root-level access, which allows them to replace SSH binaries (ssh, sshd, ssh-add, etc) or modify a shared library used by OpenSSH (libkeyutils)."
"S0593";"ECCENTRICBANDWAGON";"";"ECCENTRICBANDWAGONis a remote access Trojan (RAT) used by North Korean cyber actors that was first identified in August 2020. It is a reconnaissance tool--with keylogging and screen capture functionality--used for information gathering on compromised systems."
"S0624";"Ecipekac";"HEAVYHAND, SigLoader, DESLoader";"Ecipekacis a multi-layer loader that has been used bymenuPasssince at least 2019 including use as a loader forP8RAT,SodaMaster, andFYAnti."
"S0554";"Egregor";"";"Egregoris a Ransomware-as-a-Service (RaaS) tool that was first observed in September 2020. Researchers have noted code similarities betweenEgregorand Sekhmet ransomware, as well asMazeransomware."
"S0605";"EKANS";"SNAKEHOSE";"EKANSis ransomware variant written in Golang that first appeared in mid-December 2019 and has been used against multiple sectors, including energy, healthcare, and automotive manufacturing, which in some cases resulted in significant operational disruptions.EKANShas used a hard-coded kill-list of processes, including some associated with common ICS software platforms (e.g., GE Proficy, Honeywell HMIWeb, etc), similar to those defined inMegaCortex."
"S0081";"Elise";"BKDR_ESILE, Page";"Eliseis a custom backdoor Trojan that appears to be used exclusively byLotus Blossom. It is part of a larger group oftools referred to as LStudio, ST Group, and APT0LSTU."
"S0064";"ELMER";"";"ELMERis a non-persistent, proxy-aware HTTP backdoor written in Delphi that has been used byAPT16."
"S0082";"Emissary";"";"Emissaryis a Trojan that has been used byLotus Blossom. It shares code withElise, with both Trojans being part of a malware group referred to as LStudio."
"S0367";"Emotet";"Geodo";"Emotetis a modular malware variant which is primarily used as a downloader for other malware variants such asTrickBotandIcedID. Emotet first emerged in June 2014 and has been primarily used to target the banking sector."
"S0363";"Empire";"EmPyre, PowerShell Empire";"Empireis an open source, cross-platform remote administration and post-exploitation framework that is publicly available on GitHub. While the tool itself is primarily written in Python, the post-exploitation agents are written in purePowerShellfor Windows and Python for Linux/macOS.Empirewas one of five tools singled out by a joint report on public hacking tools being widely used by adversaries."
"S0634";"EnvyScout";"";"EnvyScoutis a dropper that has been used byAPT29since at least 2021."
"S0091";"Epic";"Tavdig, Wipbot, WorldCupSec, TadjMakhal";"Epicis a backdoor that has been used byTurla."
"S1092";"Escobar";"";"Escobaris an Android banking trojan, first detected in March 2021, believed to be a new variant of AbereBot."
"S0404";"esentutl";"esentutl.exe";"esentutlis a command-line tool that provides database utilities for the Windows Extensible Storage Engine."
"S0507";"eSurv";"";"eSurvis mobile surveillanceware designed for the lawful intercept market that was developed over the course of many years."
"S0478";"EventBot";"";"EventBotis an Android banking trojan and information stealer that abuses Android’s accessibility service to steal data from various applications.EventBotwas designed to target over 200 different banking and financial applications, the majority of which are European bank and cryptocurrency exchange applications."
"S0396";"EvilBunny";"";"EvilBunnyis a C++ malware sample observed since 2011 that was designed to be a execution platform for Lua scripts."
"S0152";"EvilGrab";"";"EvilGrabis a malware family with common reconnaissance capabilities. It has been deployed bymenuPassvia malicious Microsoft Office documents as part of spearphishing campaigns."
"S0568";"EVILNUM";"";"EVILNUMis fully capable backdoor that was first identified in 2018.EVILNUMis used by the APT groupEvilnumwhich has the same name."
"S0401";"Exaramel for Linux";"";"Exaramel for Linuxis a backdoor written in the Go Programming Language and compiled as a 64-bit ELF binary. The Windows version is tracked separately underExaramel for Windows."
"S0343";"Exaramel for Windows";"";"Exaramel for Windowsis a backdoor used for targeting Windows systems. The Linux version is tracked separately underExaramel for Linux."
"S0522";"Exobot";"Marcher";"Exobotis Android banking malware, primarily targeting financial institutions in Germany, Austria, and France."
"S0405";"Exodus";"Exodus One, Exodus Two";"Exodusis Android spyware deployed in two distinct stages named Exodus One (dropper) and Exodus Two (payload)."
"S0361";"Expand";"";"Expandis a Windows utility used to expand one or more compressed CAB files. It has been used byBBSRATto decompress a CAB file into executable content."
"S0569";"Explosive";"";"Explosiveis a custom-made remote access tool used by the groupVolatile Cedar. It was first identified in the wild in 2015."
"S1080";"Fakecalls";"";"Fakecallsis an Android trojan, first detected in January 2021, that masquerades as South Korean banking apps. It has capabilities to intercept calls to banking institutions and even maintain realistic dialogues with the victim using pre-recorded audio snippets."
"S0076";"FakeM";"";"FakeMis a shellcode-based Windows backdoor that has been used byScarlet Mimic."
"S0509";"FakeSpy";"";"FakeSpyis Android spyware that has been operated by the Chinese threat actor behind the Roaming Mantis campaigns."
"S0181";"FALLCHILL";"";"FALLCHILLis a RAT that has been used byLazarus Groupsince at least 2016 to target the aerospace, telecommunications, and finance industries. It is usually dropped by otherLazarus Groupmalware or delivered when a victim unknowingly visits a compromised website."
"S0512";"FatDuke";"";"FatDukeis a backdoor used byAPT29since at least 2016."
"S0171";"Felismus";"";"Felismusis a modular backdoor that has been used bySowbug."
"S0267";"FELIXROOT";"GreyEnergy mini";"FELIXROOTis a backdoor that has been used to target Ukrainian victims."
"S0679";"Ferocious";"";"Ferociousis a first stage implant composed of VBS and PowerShell scripts that has been used byWIRTEsince at least 2021."
"S0120";"Fgdump";"";"Fgdumpis a Windows password hash dumper."
"S0355";"Final1stspy";"";"Final1stspyis a dropper family that has been used to deliverDOGCALL."
"S0182";"FinFisher";"FinSpy";"FinFisheris a government-grade commercial surveillance spyware reportedly sold exclusively to government agencies for use in targeted and lawful criminal investigations. It is heavily obfuscated and uses multiple anti-analysis techniques. It has other variants includingWingbird."
"S0618";"FIVEHANDS";"";"FIVEHANDSis a customized version ofDEATHRANSOMransomware written in C++.FIVEHANDShas been used since at least 2021, including in Ransomware-as-a-Service (RaaS) campaigns, sometimes along withSombRAT."
"S0696";"Flagpro";"";"Flagprois a Windows-based, first-stage downloader that has been used byBlackTechsince at least October 2020. It has primarily been used against defense, media, and communications companies in Japan."
"S0143";"Flame";"Flamer, sKyWIper";"Flameis a sophisticated toolkit that has been used to collect information since at least 2010, largely targeting Middle East countries."
"S0036";"FLASHFLOOD";"";"FLASHFLOODis malware developed byAPT30that allows propagation and exfiltration of data over removable devices.APT30may use this capability to exfiltrate data across air-gaps."
"S0381";"FlawedAmmyy";"";"FlawedAmmyyis a remote access tool (RAT) that was first seen in early 2016. The code forFlawedAmmyywas based on leaked source code for a version of Ammyy Admin, a remote access software."
"S0383";"FlawedGrace";"";"FlawedGraceis a fully featured remote access tool (RAT) written in C++ that was first observed in late 2017."
"S0408";"FlexiSpy";"";"FlexiSpyis sophisticated surveillanceware for iOS and Android. Publicly-available, comprehensive analysis has only been found for the Android version.FlexiSpymarkets itself as a parental control and employee monitoring application."
"S0173";"FLIPSIDE";"";"FLIPSIDEis a simple tool similar to Plink that is used byFIN5to maintain access to victims."
"S1103";"FlixOnline";"";"FlixOnlineis an Android malware, first detected in early 2021, believed to target users of WhatsApp.FlixOnlineprimarily spreads via automatic replies to a device’s incoming WhatsApp messages."
"S1067";"FluBot";"";"FluBotis a multi-purpose mobile banking malware that was first observed in Spain in late 2020. It primarily spread through European countries using a variety of SMS phishing messages in multiple languages."
"S1093";"FlyTrap";"";"FlyTrapis an Android trojan, first detected in March 2021, that uses social engineering tactics to compromise Facebook accounts.FlyTrapwas initially detected through infected apps on the Google Play store, and is believed to have impacted over 10,000 victims across at least 140 countries."
"S0661";"FoggyWeb";"";"FoggyWebis a passive and highly-targeted backdoor capable of remotely exfiltrating sensitive information from a compromised Active Directory Federated Services (AD FS) server. It has been used byAPT29since at least early April 2021."
"S0193";"Forfiles";"";"Forfilesis a Windows utility commonly used in batch jobs to execute commands on one or more selected files or directories (ex: list all directories in a drive, read the first line of all files created yesterday, etc.). Forfiles can be executed from either the command line, Run window, or batch files/scripts."
"S1120";"FRAMESTING";"";"FRAMESTINGis a Python web shell that was used duringCutting Edgeto embed into an Ivanti Connect Secure Python package for command execution."
"S0503";"FrameworkPOS";"Trinity";"FrameworkPOSis a point of sale (POS) malware used byFIN6to steal payment card data from sytems that run physical POS devices."
"S0577";"FrozenCell";"";"FrozenCellis the mobile component of a family of surveillanceware, with a corresponding desktop component known as KasperAgent andMicropsia."
"S0277";"FruitFly";"";"FruitFly is designed to spy on mac users  ."
"S0095";"ftp";"ftp.exe";"ftpis a utility commonly available with operating systems to transfer information over the File Transfer Protocol (FTP). Adversaries can use it to transfer other tools onto a system or to exfiltrate data."
"S1044";"FunnyDream";"";"FunnyDreamis a backdoor with multiple components that was used during theFunnyDreamcampaign since at least 2019, primarily for execution and exfiltration."
"S0628";"FYAnti";"DILLJUICE stage2";"FYAntiis a loader that has been used bymenuPasssince at least 2020, including to deployQuasarRAT."
"S0410";"Fysbis";"";"Fysbisis a Linux-based backdoor used byAPT28that dates back to at least 2014."
"S0168";"Gazer";"WhiteBear";"Gazeris a backdoor used byTurlasince at least 2016."
"S0666";"Gelsemium";"Gelsevirine, Gelsenicine, Gelsemine";"Gelsemiumis a modular malware comprised of a dropper (Gelsemine), a loader (Gelsenicine), and main (Gelsevirine) plug-ins written using the Microsoft Foundation Class (MFC) framework.Gelsemiumhas been used by the Gelsemium group since at least 2014."
"S0049";"GeminiDuke";"";"GeminiDukeis malware that was used byAPT29from 2009 to 2012."
"S0460";"Get2";"";"Get2is a downloader written in C++ that has been used byTA505to deliverFlawedGrace,FlawedAmmyy, Snatch andSDBbot."
"S0032";"gh0st RAT";"Mydoor, Moudoor";"gh0st RATis a remote access tool (RAT). The source code is public and it has been used by multiple groups."
"S0423";"Ginp";"";"Ginpis an Android banking trojan that has been used to target Spanish banks. Some of the code was taken directly fromAnubis."
"S1117";"GLASSTOKEN";"";"GLASSTOKENis a custom web shell used by threat actors duringCutting Edgeto execute commands on compromised Ivanti Secure Connect VPNs."
"S0026";"GLOOXMAIL";"Trojan.GTALK";"GLOOXMAILis malware used byAPT1that mimics legitimate Jabber/XMPP traffic."
"S0249";"Gold Dragon";"";"Gold Dragonis a Korean-language, data gathering implant that was first observed in the wild in South Korea in July 2017.Gold Dragonwas used along withBrave PrinceandRunningRATin operations targeting organizations associated with the 2018 Pyeongchang Winter Olympics."
"S0535";"Golden Cup";"";"Golden Cupis Android spyware that has been used to target World Cup fans."
"S0551";"GoldenEagle";"";"GoldenEagleis a piece of Android malware that has been used in targeting of Uyghurs, Muslims, Tibetans, individuals in Turkey, and individuals in China. Samples have been found as early as 2012."
"S0493";"GoldenSpy";"";"GoldenSpyis a backdoor malware which has been packaged with legitimate tax preparation software.GoldenSpywas discovered targeting organizations in China, being delivered with the ""Intelligent Tax"" software suite which is produced by the Golden Tax Department of Aisino Credit Information Co. and required to pay local taxes."
"S0597";"GoldFinder";"";"GoldFinderis a custom HTTP tracer tool written in Go that logs the route a packet takes between a compromised network and a C2 server. It can be used to inform  threat actors of potential points of discovery or logging of their actions, including C2 related to other malware.GoldFinderwas discovered in early 2021 during an investigation into theSolarWinds CompromisebyAPT29."
"S0588";"GoldMax";"SUNSHUTTLE";"GoldMaxis a second-stage C2 backdoor written in Go with Windows and Linux variants that are nearly identical in functionality.GoldMaxwas discovered in early 2021 during the investigation into theSolarWinds Compromise, and has likely been used byAPT29since at least mid-2019.GoldMaxuses multiple defense evasion techniques, including avoiding virtualization execution and masking malicious traffic."
"S0421";"GolfSpy";"";"GolfSpyis Android spyware deployed by the groupBouncing Golf."
"S0290";"Gooligan";"Ghost Push";"Gooliganis a malware family that runs privilege escalation exploits on Android devices and then uses its escalated privileges to steal authentication tokens that can be used to access data from many Google applications.Gooliganhas been described as part of the Ghost Push Android malware family."
"S0477";"Goopy";"";"Goopyis a Windows backdoor and Trojan used byAPT32and shares several similarities to another backdoor used by the group (Denis).Goopyis named for its impersonation of the legitimate Google Updater executable."
"S0536";"GPlayed";"";"GPlayedis an Android trojan with a broad range of capabilities."
"S0531";"Grandoreiro";"";"Grandoreirois a banking trojan written in Delphi that was first observed in 2016 and uses a Malware-as-a-Service (MaaS) business model.Grandoreirohas confirmed victims in Brazil, Mexico, Portugal, and Spain."
"S0237";"GravityRAT";"";"GravityRATis a remote access tool (RAT) and has been in ongoing development since 2016. The actor behind the tool remains unknown, but two usernames have been recovered that link to the author, which are ""TheMartian"" and ""The Invincible."" According to the National Computer Emergency Response Team (CERT) of India, the malware has been identified in attacks against organization and entities in India."
"S0690";"Green Lambert";"";"Green Lambertis a modular backdoor that security researchers assess has been used by an advanced threat group referred to as Longhorn and The Lamberts. First reported in 2017, the Windows variant ofGreen Lambertmay have been used as early as 2008; a macOS version was uploaded to a multiscanner service in September 2014."
"S0342";"GreyEnergy";"";"GreyEnergyis a backdoor written in C and compiled in Visual Studio.GreyEnergyshares similarities with theBlackEnergymalware and is thought to be the successor of it."
"S0417";"GRIFFON";"";"GRIFFONis a JavaScript backdoor used byFIN7."
"S0632";"GrimAgent";"";"GrimAgentis a backdoor that has been used before the deployment ofRyukransomware since at least 2020; it is likely used byFIN6andWizard Spider."
"S0008";"gsecdump";"";"gsecdumpis a publicly-available credential dumper used to obtain password hashes and LSA secrets from Windows operating systems."
"S0561";"GuLoader";"";"GuLoaderis a file downloader that has been used since at least December 2019 to distribute a variety of remote administration tool (RAT) malware, includingNETWIRE,Agent Tesla,NanoCore, FormBook, and Parallax RAT."
"S0406";"Gustuff";"";"Gustuffis mobile malware designed to steal users' banking and virtual currency credentials."
"S0132";"H1N1";"";"H1N1is a malware variant that has been distributed via a campaign using VBA macros to infect victims. Although it initially had only loader capabilities, it has evolved to include information-stealing functionality."
"S0047";"Hacking Team UEFI Rootkit";"";"Hacking Team UEFI Rootkitis a rootkit developed by the company Hacking Team as a method of persistence for remote access software."
"S0151";"HALFBAKED";"";"HALFBAKEDis a malware family consisting of multiple components intended to establish persistence in victim networks."
"S0037";"HAMMERTOSS";"HammerDuke, NetDuke";"HAMMERTOSSis a backdoor that was used byAPT29in 2015."
"S0499";"Hancitor";"Chanitor";"Hancitoris a downloader that has been used byPonyand other information stealing malware."
"S0214";"HAPPYWORK";"";"HAPPYWORKis a downloader used byAPT37to target South Korean government and financial victims in November 2016."
"S0246";"HARDRAIN";"";"HARDRAINis a Trojan malware variant reportedly used by the North Korean government."
"S0224";"Havij";"";"Havijis an automatic SQL Injection tool distributed by the Iranian ITSecTeam security company. Havij has been used by penetration testers and adversaries."
"S0391";"HAWKBALL";"";"HAWKBALLis a backdoor that was observed in targeting of the government sector in Central Asia."
"S0071";"hcdLoader";"";"hcdLoaderis a remote access tool (RAT) that has been used byAPT18."
"S0061";"HDoor";"Custom HDoor";"HDooris malware that has been customized and used by theNaikongroup."
"S0617";"HELLOKITTY";"";"HELLOKITTYis a ransomware written in C++  that shares similar code structure and functionality withDEATHRANSOMandFIVEHANDS.HELLOKITTYhas been used since at least 2020, targets have included a Polish video game developer and a Brazilian electric power company."
"S0170";"Helminth";"";"Helminthis a backdoor that has at least two variants - one written in VBScript and PowerShell that is delivered via a macros in Excel spreadsheets, and one that is a standalone Windows executable."
"S0544";"HenBox";"";"HenBoxis Android malware that attempts to only execute on Xiaomi devices running the MIUI operating system.HenBoxhas primarily been used to target Uyghurs, a minority Turkic ethnic group."
"S0697";"HermeticWiper";"Trojan.Killdisk, DriveSlayer";"HermeticWiperis a data wiper that has been used since at least early 2022, primarily against Ukraine with additional activity observed in Latvia and Lithuania. Some sectors targeted include government, financial, defense, aviation, and IT services."
"S0698";"HermeticWizard";"";"HermeticWizardis a worm that has been used to spreadHermeticWiperin attacks against organizations in Ukraine since at least 2022."
"S1027";"Heyoka Backdoor";"";"Heyoka Backdooris a custom backdoor--based on the Heyoka open source exfiltration tool--that  has been used byAoqin Dragonsince at least 2013."
"S0087";"Hi-Zor";"";"Hi-Zoris a remote access tool (RAT) that has characteristics similar toSakula. It was used in a campaign named INOCNATION."
"S0394";"HiddenWasp";"";"HiddenWaspis a Linux-based Trojan used to target systems for remote control. It comes in the form of a statically linked ELF binary with stdlibc++."
"S0135";"HIDEDRV";"";"HIDEDRVis a rootkit used byAPT28. It has been deployed along withDowndelphto execute and hide that malware."
"S0009";"Hikit";"";"Hikitis malware that has been used byAxiomfor late-stage persistence and exfiltration after the initial compromise."
"S1128";"HilalRAT";"";"HilalRATis a remote access-capable Android malware, developed and used byUNC788.HilalRATis capable of collecting data, such as device location, call logs, etc., and is capable of executing actions, such as activating a device's camera and microphone."
"S0601";"Hildegard";"";"Hildegardis malware that targets misconfigured kubelets for initial access and runs cryptocurrency miner operations. The malware was first observed in January 2021. The TeamTNT activity group is believed to be behindHildegard."
"S0232";"HOMEFRY";"";"HOMEFRYis a 64-bit Windows password dumper/cracker that has previously been used in conjunction with otherLeviathanbackdoors."
"S0376";"HOPLIGHT";"";"HOPLIGHTis a backdoor Trojan that has reportedly been used by the North Korean government."
"S1077";"Hornbill";"";"Hornbillis one of two mobile malware families known to be used by the APTConfucius. Analysis suggests thatHornbillwas first active in early 2018. WhileHornbillandSunbirdoverlap in core capabilities,Hornbillhas tools and behaviors suggesting more passive reconnaissance."
"S0431";"HotCroissant";"";"HotCroissantis a remote access trojan (RAT) attributed by U.S. government entities to malicious North Korean government cyber activity, tracked collectively as HIDDEN COBRA.HotCroissantshares numerous code similarities withRifdoor."
"S0040";"HTRAN";"HUC Packet Transmit Tool";"HTRANis a tool that proxies connections through intermediate hops and aids users in disguising their true geographical location. It can be used by adversaries to hide their location when interacting with the victim networks."
"S0070";"HTTPBrowser";"Token Control, HttpDump";"HTTPBrowseris malware that has been used by several threat groups.   It is believed to be of Chinese origin."
"S0068";"httpclient";"";"httpclientis malware used byPutter Panda. It is a simple tool that provides a limited range of functionality, suggesting it is likely used as a second-stage or supplementary/backup tool."
"S1097";"HUI Loader";"";"HUI Loaderis a custom DLL loader that has been used since at least 2015 by China-based threat groups includingCinnamon TempestandmenuPassto deploy malware on compromised hosts.HUI Loaderhas been observed in campaigns loadingSodaMaster,PlugX,Cobalt Strike,Komplex, and several strains of ransomware."
"S0322";"HummingBad";"";"HummingBadis a family of Android malware that generates fraudulent advertising revenue and has the ability to obtain root access on older, vulnerable versions of Android."
"S0321";"HummingWhale";"";"HummingWhaleis an Android malware family that performs ad fraud."
"S0203";"Hydraq";"Roarur, MdmBot, HomeUnix, Homux, HidraQ, HydraQ, McRat, Aurora, 9002 RAT";"Hydraqis a data-theft trojan first used byElderwoodin the 2009 Google intrusion known as Operation Aurora, though variations of this trojan have been used in more recent campaigns by other Chinese actors, possibly includingAPT17."
"S0398";"HyperBro";"";"HyperBrois a custom in-memory backdoor used byThreat Group-3390."
"S0537";"HyperStack";"";"HyperStackis a RPC-based backdoor used byTurlasince at least 2018.HyperStackhas similarities to other backdoors used byTurlaincludingCarbon."
"S1022";"IceApple";"";"IceAppleis a modular Internet Information Services (IIS) post-exploitation framework, that has been used since at least 2021 against the technology, academic, and government sectors."
"S0483";"IcedID";"";"IcedIDis a modular banking malware designed to steal financial information that has been observed in the wild since at least 2017.IcedIDhas been downloaded byEmotetin multiple campaigns."
"S0101";"ifconfig";"";"ifconfigis a Unix-based utility used to gather information about and interact with the TCP/IP settings on a system."
"S0278";"iKitten";"OSX/MacDownloader";"iKittenis a macOS exfiltration agent  ."
"S0434";"Imminent Monitor";"";"Imminent Monitorwas a commodity remote access tool (RAT) offered for sale from 2012 until 2019, when an operation was conducted to take down the Imminent Monitor infrastructure. Various cracked versions and variations of this RAT are still in circulation."
"S0357";"Impacket";"";"Impacketis an open source collection of modules written in Python for programmatically constructing and manipulating network protocols.Impacketcontains several tools for remote service execution, Kerberos manipulation, Windows credential dumping, packet sniffing, and relay attacks."
"S1045";"INCONTROLLER";"PIPEDREAM";"INCONTROLLERis custom malware that includes multiple modules tailored towards ICS devices and technologies, including Schneider Electric and Omron PLCs as well as OPC UA, Modbus, and CODESYS protocols.INCONTROLLERhas the ability to discover specific devices, download logic on the devices, and exploit platform-specific vulnerabilities. As of September 2022, some security researchers assessedINCONTROLLERwas developed by CHERNOVITE."
"S0604";"Industroyer";"CRASHOVERRIDE, Win32/Industroyer";"Industroyeris a sophisticated malware framework designed to cause an impact to the working processes of Industrial Control Systems (ICS), specifically components used in electrical substations.Industroyerwas used in the attacks on the Ukrainian power grid in December 2016. This is the first publicly known malware specifically designed to target and impact operations in the electric grid."
"S1072";"Industroyer2";"";"Industroyer2is a compiled and static piece of malware that has the ability to communicate over the IEC-104 protocol. It is similar to the IEC-104 module found inIndustroyer. Security researchers assess thatIndustroyer2was designed to cause impact to high-voltage electrical substations. The initialIndustroyer2sample was compiled on 03/23/2022 and scheduled to execute on 04/08/2022, however it was discovered before deploying, resulting in no impact."
"S0259";"InnaputRAT";"";"InnaputRATis a remote access tool that can exfiltrate files from a victim’s machine.InnaputRAThas been seen out in the wild since 2016."
"S0463";"INSOMNIA";"";"INSOMNIAis spyware that has been used by the group Evil Eye."
"S0260";"InvisiMole";"";"InvisiMoleis a modular spyware program that has been used by the InvisiMole Group since at least 2013.InvisiMolehas two backdoor modules called RC2FM and RC2CL that are used to perform post-exploitation activities. It has been discovered on compromised victims in the Ukraine and Russia.Gamaredon Groupinfrastructure has been used to download and executeInvisiMoleagainst a small number of victims."
"S0231";"Invoke-PSImage";"";"Invoke-PSImagetakes a PowerShell script and embeds the bytes of the script into the pixels of a PNG image. It generates a one liner for executing either from a file of from the web. Example of usage is embedding the PowerShell code from the Invoke-Mimikatz module and embed it into an image file. By calling the image file from a macro for example, the macro will download the picture and execute the PowerShell code, which in this case will dump the passwords."
"S0100";"ipconfig";"";"ipconfigis a Windows utility that can be used to find information about a system's TCP/IP, DNS, DHCP, and adapter configuration."
"S0581";"IronNetInjector";"";"IronNetInjectoris aTurlatoolchain that utilizes scripts from the open-source IronPython implementation of Python with a .NET injector to drop one or more payloads includingComRAT."
"S0189";"ISMInjector";"";"ISMInjectoris a Trojan used to install anotherOilRigbackdoor, ISMAgent."
"S0015";"Ixeshe";"";"Ixesheis a malware family that has been used since at least 2009 against targets in East Asia."
"S0163";"Janicab";"";"Janicabis an OS X trojan that relied on a valid developer ID and oblivious users to install it."
"S0528";"Javali";"";"Javaliis a banking trojan that has targeted Portuguese and Spanish-speaking countries since 2017, primarily focusing on customers of financial institutions in Brazil and Mexico."
"S0389";"JCry";"";"JCryis ransomware written in Go. It was identified as apart of the #OpJerusalem 2019 campaign."
