"mitigation_code";"tech_code";"mitigation_implementing"
"M1039";"T1562003";"Prevent users from changing the HISTCONTROL, HISTFILE, and HISTFILESIZE environment variables. "
"M1039";"T1070003";"Making the environment variables associated with command history read only may ensure that the history is preserved. "
"M1038";"T1548";"System settings can prevent applications from running that haven't been downloaded from legitimate repositories which may help mitigate some of these issues. Not allowing unsigned applications from being run may also mitigate some risk."
"M1038";"T1548004";"System settings can prevent applications from running that haven't been downloaded from legitimate repositories which may help mitigate some of these issues. Not allowing unsigned applications from being run may also mitigate some risk."
"M1038";"T1547004";"Identify and block potentially malicious software that may be executed through the Winlogon helper process by using application control [1] tools like AppLocker [2] [3] that are capable of auditing and/or blocking unknown DLLs."
"M1038";"T1547006";"Application control and software restriction tools, such as SELinux, KSPP, grsecurity MODHARDEN, and Linux kernel tuning can aid in restricting kernel module loading. "
"M1038";"T1176";"Set a browser extension allow or deny list as appropriate for your security policy. "
"M1038";"T1059";"Use application control where appropriate. For example, PowerShell Constrained Language mode can be used to restrict access to sensitive or otherwise dangerous language elements such as those used to execute arbitrary Windows APIs or files (e.g., Add-Type). "
"M1038";"T1059001";"Use application control where appropriate. PowerShell Constrained Language mode can be used to restrict access to sensitive or otherwise dangerous language elements such as those used to execute arbitrary Windows APIs or files (e.g., Add-Type). "
"M1038";"T1059002";"Use application control where appropriate."
"M1038";"T1059003";"Use application control where appropriate."
"M1038";"T1059004";"Use application control where appropriate."
"M1038";"T1059005";"Use application control where appropriate. VBA macros obtained from the Internet, based on the file's Mark of the Web (MOTW) attribute, may be blocked from executing in Office applications (ex: Access, Excel, PowerPoint, Visio, and Word) by default starting in Windows Version 2203. "
"M1038";"T1059006";"Denylist Python where not required."
"M1038";"T1059007";"Denylist scripting where appropriate."
"M1038";"T1059008";"TACACS+ can keep control over which commands administrators are permitted to use through the configuration of authentication and command authorization. "
"M1038";"T1059009";"Use application control where appropriate to block use of PowerShell CmdLets or other host based resources to access cloud API resources."
"M1038";"T1059010";"Use application control to prevent execution of AutoIt3.exe, AutoHotkey.exe, and other related features that may not be required for a given system or network to prevent potential misuse by adversaries."
"M1038";"T1609";"Use read-only containers, read-only file systems, and minimal images when possible to prevent the execution of commands.[13] Where possible, also consider using application control and software restriction tools (such as those provided by SELinux) to restrict access to files, processes, and system calls in containers. "
"M1038";"T1611";"Use read-only containers, read-only file systems, and minimal images when possible to prevent the execution of commands.[13] Where possible, also consider using application control and software restriction tools (such as those provided by SELinux) to restrict access to files, processes, and system calls in containers. "
"M1038";"T1546002";"Block .scr files from being executed from non-standard locations."
"M1038";"T1546006";"Allow applications via known hashes."
"M1038";"T1546008";"Adversaries can replace accessibility features binaries with alternate binaries to execute this technique. Identify and block potentially malicious software executed through accessibility features functionality by using application control [1] tools, like Windows Defender Application Control[15], AppLocker, [2] [3] or Software Restriction Policies [16] where appropriate. "
"M1038";"T1546009";"Adversaries install new AppCertDLL binaries to execute this technique. Identify and block potentially malicious software executed through AppCertDLLs functionality by using application control [1] tools, like Windows Defender Application Control[15], AppLocker, [2] [3] or Software Restriction Policies [16] where appropriate. "
"M1038";"T1546010";"Adversaries can install new AppInit DLLs binaries to execute this technique. Identify and block potentially malicious software executed through AppInit DLLs functionality by using application control [1] tools, like Windows Defender Application Control[15], AppLocker, [2] [3] or Software Restriction Policies [16] where appropriate.  "
"M1038";"T1068";"Consider blocking the execution of known vulnerable drivers that adversaries may exploit to execute code in kernel mode. Validate driver block rules in audit mode to ensure stability prior to production deployment. "
"M1038";"T1564003";"Limit or restrict program execution using anti-virus software. On MacOS, allowlist programs that are allowed to have the plist tag. All other programs should be considered suspicious."
"M1038";"T1564006";"Use application control to mitigate installation and use of unapproved virtualization software."
"M1038";"T1574";"Adversaries may use new payloads to execute this technique. Identify and block potentially malicious software executed through hijacking by using application control solutions also capable of blocking libraries loaded by legitimate software."
"M1038";"T1574001";"Adversaries may use new DLLs to execute this technique. Identify and block potentially malicious software executed through search order hijacking by using application control solutions capable of blocking DLLs loaded by legitimate software."
"M1038";"T1574006";"Adversaries may use new payloads to execute this technique. Identify and block potentially malicious software executed through hijacking by using application control solutions also capable of blocking libraries loaded by legitimate software."
"M1038";"T1574007";"Adversaries will likely need to place new binaries in locations to be executed through this weakness. Identify and block potentially malicious software executed path interception by using application control tools, like Windows Defender Application Control, AppLocker, or Software Restriction Policies where appropriate. "
"M1038";"T1574008";"Adversaries will likely need to place new binaries in locations to be executed through this weakness. Identify and block potentially malicious software executed path interception by using application control tools, like Windows Defender Application Control, AppLocker, or Software Restriction Policies where appropriate. "
"M1038";"T1574009";"Adversaries will likely need to place new binaries in locations to be executed through this weakness. Identify and block potentially malicious software executed path interception by using application control tools, like Windows Defender Application Control, AppLocker, or Software Restriction Policies where appropriate. "
"M1038";"T1574012";"Identify and block potentially malicious unmanaged COR_PROFILER profiling DLLs by using application control solutions like AppLocker that are capable of auditing and/or blocking unapproved DLLs. "
"M1038";"T1562";"Use application control where appropriate, especially regarding the execution of tools outside of the organization's security policies (such as rootkit removal tools) that have been abused to impair system defenses. Ensure that only approved security applications are used and running on enterprise systems."
"M1038";"T1562001";"Use application control where appropriate, especially regarding the execution of tools outside of the organization's security policies (such as rootkit removal tools) that have been abused to impair system defenses. Ensure that only approved security applications are used and running on enterprise systems."
"M1038";"T1562011";"Use application controls to mitigate installation and use of payloads that may be utilized to spoof security alerting."
"M1038";"T1490";"Consider using application control configured to block execution of utilities such as diskshadow.exe that may not be required for a given system or network to prevent potential misuse by adversaries."
"M1038";"T1036";"Use tools that restrict program execution via application control by attributes other than file name for common operating system utilities that are needed."
"M1038";"T1036005";"Use tools that restrict program execution via application control by attributes other than file name for common operating system utilities that are needed."
"M1038";"T1036008";"Ensure that input sanitization is performed and that files are validated properly before execution; furthermore, implement a strict allow list to ensure that only authorized file types are processed.[22] Restrict and/or block execution of files where headers and extensions do not match."
"M1038";"T1106";"Identify and block potentially malicious software executed that may be executed through this technique by using application control [1] tools, like Windows Defender Application Control[15], AppLocker, [2] [3] or Software Restriction Policies [16] where appropriate. "
"M1038";"T1219";"Use application control to mitigate installation and use of unapproved software that can be used for remote access."
"M1038";"T1505004";"Restrict unallowed ISAPI extensions and filters from running by specifying a list of ISAPI extensions and filters that can run on IIS. "
"M1038";"T1129";"Identify and block potentially malicious software executed through this technique by using application control tools capable of preventing unknown modules from being loaded."
"M1038";"T1553";"System settings can prevent applications from running that haven't been downloaded through the Apple Store (or other legitimate repositories) which can help mitigate some of these issues. Also enable application control solutions such as AppLocker and/or Device Guard to block the loading of malicious content."
"M1038";"T1553001";"System settings can prevent applications from running that haven't been downloaded through the Apple Store which can help mitigate some of these issues."
"M1038";"T1553003";"Enable application control solutions such as AppLocker and/or Device Guard to block the loading of malicious SIP DLLs."
"M1038";"T1553005";"Consider blocking container file types at web and/or email gateways. Consider unregistering container file extensions in Windows File Explorer. "
"M1038";"T1218";"Consider using application control to prevent execution of binaries that are susceptible to abuse and not required for a given system or network."
"M1038";"T1218001";"Consider using application control to prevent execution of hh.exe if it is not required for a given system or network to prevent potential misuse by adversaries."
"M1038";"T1218002";"Identify and block potentially malicious and unknown .cpl files by using application control [1] tools, like Windows Defender Application Control[15], AppLocker, [2] [3] or Software Restriction Policies [16] where appropriate. "
"M1038";"T1218003";"Consider using application control configured to block execution of CMSTP.exe if it is not required for a given system or network to prevent potential misuse by adversaries."
"M1038";"T1218004";"Use application control configured to block execution of InstallUtil.exe if it is not required for a given system or network to prevent potential misuse by adversaries."
"M1038";"T1218005";"Use application control configured to block execution of mshta.exe if it is not required for a given system or network to prevent potential misuse by adversaries. For example, in Windows 10 and Windows Server 2016 and above, Windows Defender Application Control (WDAC) policy rules may be applied to block the mshta.exe application and to prevent abuse. "
"M1038";"T1218008";"Use application control configured to block execution of Odbcconf.exe if it is not required for a given system or network to prevent potential misuse by adversaries."
"M1038";"T1218009";"Block execution of Regsvcs.exe and Regasm.exe if they are not required for a given system or network to prevent potential misuse by adversaries."
"M1038";"T1218012";"Use application control configured to block execution of verclsid.exe if it is not required for a given system or network to prevent potential misuse by adversaries."
"M1038";"T1218013";"Use application control configured to block execution of mavinject.exe if it is not required for a given system or network to prevent potential misuse by adversaries."
"M1038";"T1218014";"Use application control configured to block execution of MMC if it is not required for a given system or network to prevent potential misuse by adversaries."
"M1038";"T1218015";"Where possible, enforce binary and application integrity with digital signature verification to prevent untrusted code from executing. For example, do not use shell.openExternal with untrusted content. Where possible, set nodeIntegration to false, which disables access to the Node.js function.[26] By disabling access to the Node.js function, this may limit the ability to execute malicious commands by injecting JavaScript code. Do not disable webSecurity, which may allow for users of the application to invoke malicious content from online sources."
"M1038";"T1216";"Certain signed scripts that can be used to execute other programs may not be necessary within a given environment. Use application control configured to block execution of these scripts if they are not required for a given system or network to prevent potential misuse by adversaries."
"M1038";"T1216001";"Certain signed scripts that can be used to execute other programs may not be necessary within a given environment. Use application control configured to block execution of these scripts if they are not required for a given system or network to prevent potential misuse by adversaries."
"M1038";"T1216002";"Certain signed scripts that can be used to execute other programs may not be necessary within a given environment. Use application control configured to block execution of these scripts if they are not required for a given system or network to prevent potential misuse by adversaries."
"M1038";"T1080";"Identify potentially malicious software that may be used to taint content or may result from it and audit and/or block the unknown programs by using application control [1] tools, like AppLocker, [2] [3] or Software Restriction Policies [16] where appropriate. "
"M1038";"T1127";"Certain developer utilities should be blocked or restricted if not required."
"M1038";"T1127001";"Use application control configured to block execution of msbuild.exe if it is not required for a given system or network to prevent potential misuse by adversaries. For example, in Windows 10 and Windows Server 2016 and above, Windows Defender Application Control (WDAC) policy rules may be applied to block the msbuild.exe application and to prevent abuse. "
"M1038";"T1204";"Application control may be able to prevent the running of executables masquerading as other files."
"M1038";"T1204002";"Application control may be able to prevent the running of executables masquerading as other files."
"M1038";"T1047";"Use application control configured to block execution of wmic.exe if it is not required for a given system or network to prevent potential misuse by adversaries. For example, in Windows 10 and Windows Server 2016 and above, Windows Defender Application Control (WDAC) policy rules may be applied to block the wmic.exe application and to prevent abuse. "
"M1038";"T1220";"If msxsl.exe is unnecessary, then block its execution to prevent abuse by adversaries."
"M1050";"T1189";"Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. [1] Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. [2] Many of these protections depend on the architecture and target application binary for compatibility."
"M1050";"T1190";"Web Application Firewalls may be used to limit exposure of applications to prevent exploit traffic from reaching the application."
"M1050";"T1203";"Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. [1] Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. [2] Many of these protections depend on the architecture and target application binary for compatibility."
"M1050";"T1212";"Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior.[1] Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring.[2] Many of these protections depend on the architecture and target application binary for compatibility and may not work for software targeted for defense evasion."
"M1050";"T1211";"Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. [1] Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. [2] Many of these protections depend on the architecture and target application binary for compatibility and may not work for software targeted for defense evasion."
"M1050";"T1068";"Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. [1] Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. [2] Many of these protections depend on the architecture and target application binary for compatibility and may not work for software components targeted for privilege escalation."
"M1050";"T1210";"Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. [1] Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. [2] Many of these protections depend on the architecture and target application binary for compatibility and may not work for all software or services targeted."
"M1050";"T1218";"Microsoft's Enhanced Mitigation Experience Toolkit (EMET) Attack Surface Reduction (ASR) feature can be used to block methods of using using trusted binaries to bypass application control."
"M1050";"T1218010";"Microsoft's Enhanced Mitigation Experience Toolkit (EMET) Attack Surface Reduction (ASR) feature can be used to block regsvr32.exe from being used to bypass application control. [3] Identify and block potentially malicious software executed through regsvr32 functionality by using application control [4] tools, like Windows Defender Application Control[5], AppLocker, [6] [7] or Software Restriction Policies [8] where appropriate. "
"M1050";"T1218011";"Microsoft's Enhanced Mitigation Experience Toolkit (EMET) Attack Surface Reduction (ASR) feature can be used to block methods of using rundll32.exe to bypass application control. "
"M1050";"T1218015";"Microsoft's Enhanced Mitigation Experience Toolkit (EMET) Attack Surface Reduction (ASR) feature can be used to block methods of using trusted binaries to bypass application control. Ensure that Electron is updated to the latest version and critical vulnerabilities (such as nodeIntegration bypasses) are patched and cannot be exploited."
"M1050";"T1080";"Use utilities that detect or mitigate common features used in exploitation, such as the Microsoft Enhanced Mitigation Experience Toolkit (EMET)."
"M1037";"T1557";"Use network appliances and host-based security software to block network traffic that is not necessary within the environment, such as legacy protocols that may be leveraged for AiTM conditions."
"M1037";"T1557001";"Use host-based security software to block LLMNR/NetBIOS traffic. Enabling SMB Signing can stop NTLMv2 relay attacks. "
"M1037";"T1557002";"Consider enabling DHCP Snooping and Dynamic ARP Inspection on switches to create mappings between IP addresses requested via DHCP and ARP tables and tie the values to a port on the switch that may block bogus traffic. "
"M1037";"T1557003";"Consider filtering DHCP traffic on ports 67 and 68 to/from unknown or untrusted DHCP servers. Additionally, port security may also be enabled on layer switches. Furthermore, consider enabling DHCP snooping on layer 2 switches as it will prevent DHCP spoofing attacks and starvation attacks. Consider tracking available IP addresses through a script or a tool. Additionally, block DHCPv6 traffic and incoming router advertisements, especially if IPv6 is not commonly used in the network."
"M1037";"T1071";"Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic."
"M1037";"T1071004";"Consider filtering DNS requests to unknown, untrusted, or known bad domains and resources. Resolving DNS requests with on-premise/proxy servers may also disrupt adversary attempts to conceal data within DNS packets."
"M1037";"T1197";"Modify network and/or host firewall rules, as well as other network controls, to only allow legitimate BITS traffic."
"M1037";"T1530";"Cloud service providers support IP-based restrictions when accessing cloud resources. Consider using IP allowlisting along with user account management to ensure that data access is restricted not only to valid users but only from expected IP ranges to mitigate the use of stolen credentials to access data."
"M1037";"T1602";"Apply extended ACLs to block unauthorized protocols outside the trusted network. "
"M1037";"T1602001";"Apply extended ACLs to block unauthorized protocols outside the trusted network. "
"M1037";"T1602002";"Apply extended ACLs to block unauthorized protocols outside the trusted network. "
"M1037";"T1499";"Leverage services provided by Content Delivery Networks (CDN) or providers specializing in DoS mitigations to filter traffic upstream from services.[8] Filter boundary traffic by blocking source addresses sourcing the attack, blocking ports that are being targeted, or blocking protocols being used for transport. To defend against SYN floods, enable SYN Cookies."
"M1037";"T1499001";"Leverage services provided by Content Delivery Networks (CDN) or providers specializing in DoS mitigations to filter traffic upstream from services.[8] Filter boundary traffic by blocking source addresses sourcing the attack, blocking ports that are being targeted, or blocking protocols being used for transport. To defend against SYN floods, enable SYN Cookies."
"M1037";"T1499002";"Leverage services provided by Content Delivery Networks (CDN) or providers specializing in DoS mitigations to filter traffic upstream from services.[8] Filter boundary traffic by blocking source addresses sourcing the attack, blocking ports that are being targeted, or blocking protocols being used for transport."
"M1037";"T1499003";"Leverage services provided by Content Delivery Networks (CDN) or providers specializing in DoS mitigations to filter traffic upstream from services.[8] Filter boundary traffic by blocking source addresses sourcing the attack, blocking ports that are being targeted, or blocking protocols being used for transport."
"M1037";"T1499004";"Leverage services provided by Content Delivery Networks (CDN) or providers specializing in DoS mitigations to filter traffic upstream from services.[8] Filter boundary traffic by blocking source addresses sourcing the attack, blocking ports that are being targeted, or blocking protocols being used for transport."
"M1037";"T1048";"Enforce proxies and use dedicated servers for services such as DNS and only allow those systems to communicate over respective ports/protocols, instead of all systems within a network. Cloud service providers support IP-based restrictions when accessing cloud resources. Consider using IP allowlisting along with user account management to ensure that data access is restricted not only to valid users but only from expected IP ranges to mitigate the use of stolen credentials to access data."
"M1037";"T1048001";"Enforce proxies and use dedicated servers for services such as DNS and only allow those systems to communicate over respective ports/protocols, instead of all systems within a network."
"M1037";"T1048002";"Enforce proxies and use dedicated servers for services such as DNS and only allow those systems to communicate over respective ports/protocols, instead of all systems within a network."
"M1037";"T1048003";"Enforce proxies and use dedicated servers for services such as DNS and only allow those systems to communicate over respective ports/protocols, instead of all systems within a network."
"M1037";"T1187";"Block SMB traffic from exiting an enterprise network with egress filtering or by blocking TCP ports 139, 445 and UDP port 137. Filter or block WebDAV protocol traffic from exiting the network. If access to external resources over SMB and WebDAV is necessary, then traffic should be tightly limited with allowlisting. "
"M1037";"T1570";"Consider using the host firewall to restrict file sharing communications such as SMB. "
"M1037";"T1599";"Upon identifying a compromised network device being used to bridge a network boundary, block the malicious packets using an unaffected network device in path, such as a firewall or a router that has not been compromised. Continue to monitor for additional activity and to ensure that the blocks are indeed effective."
"M1037";"T1599001";"Block Traffic Upon identifying a compromised network device being used to bridge a network boundary, block the malicious packets using an unaffected network device in path, such as a firewall or a router that has not been compromised. Continue to monitor for additional activity and to ensure that the blocks are indeed effective."
"M1037";"T1498";"When flood volumes exceed the capacity of the network connection being targeted, it is typically necessary to intercept the incoming traffic upstream to filter out the attack traffic from the legitimate traffic. Such defenses can be provided by the hosting Internet Service Provider (ISP) or by a 3rd party such as a Content Delivery Network (CDN) or providers specializing in DoS mitigations. Depending on flood volume, on-premises filtering may be possible by blocking source addresses sourcing the attack, blocking ports that are being targeted, or blocking protocols being used for transport. As immediate response may require rapid engagement of 3rd parties, analyze the risk associated to critical resources being affected by Network DoS attacks and create a disaster recovery plan/business continuity plan to respond to incidents."
"M1037";"T1498001";"When flood volumes exceed the capacity of the network connection being targeted, it is typically necessary to intercept the incoming traffic upstream to filter out the attack traffic from the legitimate traffic. Such defenses can be provided by the hosting Internet Service Provider (ISP) or by a 3rd party such as a Content Delivery Network (CDN) or providers specializing in DoS mitigations. Depending on flood volume, on-premises filtering may be possible by blocking source addresses sourcing the attack, blocking ports that are being targeted, or blocking protocols being used for transport. As immediate response may require rapid engagement of 3rd parties, analyze the risk associated to critical resources being affected by Network DoS attacks and create a disaster recovery plan/business continuity plan to respond to incidents."
"M1037";"T1498002";"When flood volumes exceed the capacity of the network connection being targeted, it is typically necessary to intercept the incoming traffic upstream to filter out the attack traffic from the legitimate traffic. Such defenses can be provided by the hosting Internet Service Provider (ISP) or by a 3rd party such as a Content Delivery Network (CDN) or providers specializing in DoS mitigations. Depending on flood volume, on-premises filtering may be possible by blocking source addresses sourcing the attack, blocking ports that are being targeted, or blocking protocols being used for transport. As immediate response may require rapid engagement of 3rd parties, analyze the risk associated to critical resources being affected by Network DoS attacks and create a disaster recovery plan/business continuity plan to respond to incidents."
"M1037";"T1095";"Filter network traffic to prevent use of protocols across the network boundary that are unnecessary."
"M1037";"T1572";"Consider filtering network traffic to untrusted or known bad domains and resources."
"M1037";"T1090";"Traffic to known anonymity networks and C2 infrastructure can be blocked through the use of network allow and block lists. It should be noted that this kind of blocking may be circumvented by other techniques like Domain Fronting."
"M1037";"T1090003";"Traffic to known anonymity networks and C2 infrastructure can be blocked through the use of network allow and block lists. It should be noted that this kind of blocking may be circumvented by other techniques like Domain Fronting."
"M1037";"T1219";"Properly configure firewalls, application firewalls, and proxies to limit outgoing traffic to sites and services used by remote access software."
"M1037";"T1021002";"Consider using the host firewall to restrict file sharing communications such as SMB. "
"M1037";"T1021005";"VNC defaults to TCP ports 5900 for the server, 5800 for browser access, and 5500 for a viewer in listening mode. Filtering or blocking these ports will inhibit VNC traffic utilizing default ports."
"M1037";"T1218";"Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic."
"M1037";"T1218012";"Consider modifying host firewall rules to prevent egress traffic from verclsid.exe."
"M1037";"T1205";"Mitigation of some variants of this technique could be achieved through the use of stateful firewalls, depending upon how it is implemented."
"M1037";"T1205001";"Mitigation of some variants of this technique could be achieved through the use of stateful firewalls, depending upon how it is implemented."
"M1037";"T1205002";"Mitigation of some variants of this technique could be achieved through the use of stateful firewalls, depending upon how it is implemented."
"M1037";"T1537";"Implement network-based filtering restrictions to prohibit data transfers to untrusted VPCs."
"M1037";"T1552";"Limit access to the Instance Metadata API. A properly configured Web Application Firewall (WAF) may help prevent external adversaries from exploiting Server-side Request Forgery (SSRF) attacks that allow access to the Cloud Instance Metadata API. "
"M1037";"T1552005";"Limit access to the Instance Metadata API. A properly configured Web Application Firewall (WAF) may help prevent external adversaries from exploiting Server-side Request Forgery (SSRF) attacks that allow access to the Cloud Instance Metadata API. "
"M1035";"T1557";"Limit access to network infrastructure and resources that can be used to reshape traffic or otherwise produce AiTM conditions."
"M1035";"T1557002";"Create static ARP entries for networked devices. Implementing static ARP entries may be infeasible for large networks."
"M1035";"T1612";"Limit communications with the container service to local Unix sockets or remote access via SSH. Require secure port access to communicate with the APIs over TLS by disabling unauthenticated access to the Docker API on port 2375. Instead, communicate with the Docker API over TLS on port 2376. "
"M1035";"T1609";"Limit communications with the container service to managed and secured channels, such as local Unix sockets or remote access via SSH. Require secure port access to communicate with the APIs over TLS by disabling unauthenticated access to the Docker API and Kubernetes API Server.[1][2] In Kubernetes clusters deployed in cloud environments, use native cloud platform features to restrict the IP ranges that are permitted to access to API server.[3] Where possible, consider enabling just-in-time (JIT) access to the Kubernetes API to place additional restrictions on access. "
"M1035";"T1613";"Limit communications with the container service to managed and secured channels, such as local Unix sockets or remote access via SSH. Require secure port access to communicate with the APIs over TLS by disabling unauthenticated access to the Docker API and Kubernetes API Server.[1][2] In Kubernetes clusters deployed in cloud environments, use native cloud platform features to restrict the IP ranges that are permitted to access to API server.[3] Where possible, consider enabling just-in-time (JIT) access to the Kubernetes API to place additional restrictions on access "
"M1035";"T1610";"Limit communications with the container service to managed and secured channels, such as local Unix sockets or remote access via SSH. Require secure port access to communicate with the APIs over TLS by disabling unauthenticated access to the Docker API, Kubernetes API Server, and container orchestration web applications.[1][2] In Kubernetes clusters deployed in cloud environments, use native cloud platform features to restrict the IP ranges that are permitted to access to API server.[3] Where possible, consider enabling just-in-time (JIT) access to the Kubernetes API to place additional restrictions on access. "
"M1035";"T1546008";"If possible, use a Remote Desktop Gateway to manage connections and security configuration of RDP within a network. "
"M1035";"T1133";"Limit access to remote services through centrally managed concentrators such as VPNs and other managed remote access systems. "
"M1035";"T1200";"Establish network access control policies, such as using device certificates and the 802.1x standard. [6] Restrict use of DHCP to registered devices to prevent unregistered devices from communicating with trusted systems."
"M1035";"T1542";"Prevent access to file shares, remote access to systems, unnecessary services. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc."
"M1035";"T1542005";"Restrict use of protocols without encryption or authentication mechanisms. Limit access to administrative and management interfaces from untrusted network sources."
"M1035";"T1563002";"Use remote desktop gateways."
"M1035";"T1021";"Prevent access to file shares, remote access to systems, unnecessary services. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc."
"M1035";"T1021001";"Use remote desktop gateways."
"M1035";"T1021002";"Consider disabling Windows administrative shares."
"M1035";"T1552";"Limit network access to sensitive services, such as the Instance Metadata API."
"M1035";"T1552005";"Limit access to the Instance Metadata API using a host-based firewall such as iptables."
"M1035";"T1552007";"Limit communications with the container service to managed and secured channels, such as local Unix sockets or remote access via SSH. Require secure port access to communicate with the APIs over TLS by disabling unauthenticated access to the Docker API and Kubernetes API Server.[1][2] In Kubernetes clusters deployed in cloud environments, use native cloud platform features to restrict the IP ranges that are permitted to access to API server.[3] Where possible, consider enabling just-in-time (JIT) access to the Kubernetes API to place additional restrictions on access "
"M1034";"T1052";"Limit the use of USB devices and removable media within a network."
"M1034";"T1052001";"Limit the use of USB devices and removable media within a network."
"M1034";"T1200";"Block unknown devices and accessories by endpoint security configuration and monitoring agent."
"M1034";"T1091";"Limit the use of USB devices and removable media within a network."
"M1033";"T1547013";"Restrict software installation to trusted repositories only and be cautious of orphaned software packages."
"M1033";"T1176";"Only install browser extensions from trusted sources that can be verified. Browser extensions for some browsers can be controlled through Group Policy. Change settings to prevent the browser from installing extensions without sufficient permissions."
"M1033";"T1059006";"Prevent users from installing Python where not required."
"M1033";"T1543";"Restrict software installation to trusted repositories only and be cautious of orphaned software packages."
"M1033";"T1543002";"Restrict software installation to trusted repositories only and be cautious of orphaned software packages."
"M1033";"T1564";"Restrict the installation of software that may be abused to create hidden desktops, such as hVNC, to user groups that require it."
"M1033";"T1564003";"Restrict the installation of software that may be abused to create hidden desktops, such as hVNC, to user groups that require it."
"M1033";"T1021005";"Restrict software installation to user groups that require it. A VNC server must be manually installed by the user or adversary."
"M1033";"T1072";"Restrict the use of third-party software suites installed within an enterprise network."
"M1033";"T1195";"Where possible, consider requiring developers to pull from internal repositories containing verified and approved packages rather than from external ones. "
"M1033";"T1195001";"Where possible, consider requiring developers to pull from internal repositories containing verified and approved packages rather than from external ones. "
"M1032";"T1098";"Use multi-factor authentication for user and privileged accounts."
"M1032";"T1098001";"Use multi-factor authentication for user and privileged accounts. Consider enforcing multi-factor authentication for the CreateKeyPair and ImportKeyPair API calls through IAM policies. "
"M1032";"T1098002";"Use multi-factor authentication for user and privileged accounts."
"M1032";"T1098003";"Use multi-factor authentication for user and privileged accounts."
"M1032";"T1098005";"Require multi-factor authentication to register devices in Azure AD.[2] Configure multi-factor authentication systems to disallow enrolling new devices for inactive accounts.[3] When first enrolling MFA, use conditional access policies to restrict device enrollment to trusted locations or devices, and consider using temporary access passes as an initial MFA solution to enroll a device. "
"M1032";"T1098006";"Require multi-factor authentication for user accounts integrated into container clusters through cloud deployments or via authentication protocols such as LDAP or SAML."
"M1032";"T1110";"Use multi-factor authentication. Where possible, also enable multi-factor authentication on externally facing services."
"M1032";"T1110001";"Use multi-factor authentication. Where possible, also enable multi-factor authentication on externally facing services."
"M1032";"T1110002";"Use multi-factor authentication. Where possible, also enable multi-factor authentication on externally facing services."
"M1032";"T1110003";"Use multi-factor authentication. Where possible, also enable multi-factor authentication on externally facing services."
"M1032";"T1110004";"Use multi-factor authentication. Where possible, also enable multi-factor authentication on externally facing services."
"M1032";"T1136";"Use multi-factor authentication for user and privileged accounts."
"M1032";"T1136001";"Use multi-factor authentication for user and privileged accounts."
"M1032";"T1136002";"Use multi-factor authentication for user and privileged accounts."
"M1032";"T1136003";"Use multi-factor authentication for user and privileged accounts."
"M1032";"T1530";"Consider using multi-factor authentication to restrict access to resources and cloud storage APIs. "
"M1032";"T1213";"Use two or more pieces of evidence to authenticate to a system such as username and password in addition to a token from a physical smart card or token generator."
"M1032";"T1213003";"Use multi-factor authentication for logons to code repositories."
"M1032";"T1114";"Use of multi-factor authentication for public-facing webmail servers is a recommended best practice to minimize the usefulness of usernames and passwords to adversaries."
"M1032";"T1114002";"Use of multi-factor authentication for public-facing webmail servers is a recommended best practice to minimize the usefulness of usernames and passwords to adversaries."
"M1032";"T1133";"Use strong two-factor or multi-factor authentication for remote service accounts to mitigate an adversary's ability to leverage stolen credentials, but be aware of Multi-Factor Authentication Interception techniques for some two-factor authentication implementations."
"M1032";"T1556";"Integrating multi-factor authentication (MFA) as part of organizational policy can greatly reduce the risk of an adversary gaining control of valid credentials that may be used for additional tactics such as initial access, lateral movement, and collecting information. MFA can also be used to restrict access to cloud resources and APIs."
